step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
288,56656,576,0.038344936521407365,0.0,0.6666666666666666,,,,,,,,,
289,56866,578,0.03144225314630743,0.0,0.6666666666666666,0.03683192672820406,0.0,0.5,,,,,,
290,57012,580,0.034527358687235186,1.0,1.0,,,,,,,,,
291,57238,582,0.023684440230365453,1.0,1.0,,,,,,,,,
292,57400,584,0.03168898189636457,0.5,0.8,,,,,,,,,
293,57642,586,0.029086041410755565,0.5,0.8,,,,,,,,,
294,57916,588,0.03448428743144819,0.0,0.5,,,,,,,,,
295,58142,590,0.0367267864590875,0.0,0.5,,,,,,,,,
296,58272,592,0.03433183064329114,0.5,0.8,,,,,,,,,
297,58386,594,0.035148362475275856,0.5,0.8,0.023600334978249777,0.5,0.8333333333333334,,,,,,
298,58500,596,0.04617805275673163,0.0,0.6666666666666666,,,,,,,,,
299,58630,598,0.03598120935890165,1.0,1.0,,,,,,,,,
300,58856,600,0.03639274742172866,1.0,1.0,,,,,,,,,
301,59130,602,0.03213447557976799,0.5,0.8,,,,,,,,,
302,59388,604,0.028037637493810053,0.5,0.8,,,,,,,,,
303,59518,606,0.039869621640191324,0.0,0.6666666666666666,,,,,,,,,
304,59680,608,0.03795293411039529,0.5,0.8333333333333334,,,,,,,,,
305,59906,610,0.029074833097274676,0.0,0.5,0.03141751256129737,1.0,1.0,,,,,,
306,60148,612,0.02512568116240921,0.5,0.75,,,,,,,,,
307,60294,614,0.029554688434427587,0.5,0.8,,,,,,,,,
308,60504,616,0.024387206015120542,1.0,1.0,,,,,,,,,
309,60618,618,0.030740723115990742,1.0,1.0,,,,,,,,,
310,60860,620,0.03275484152412112,0.5,0.8,,,,,,,,,
311,61086,622,0.042079837723027334,0.0,0.5,,,,,,,,,
312,61344,624,0.02651487641308961,0.5,0.8,,,,,,,,,
313,61538,626,0.030979139673534824,0.5,0.8,0.028091954658975737,1.0,1.0,,,,,,
314,61700,628,0.03803258004102827,0.0,0.5,,,,,,,,,
315,61942,630,0.02672694633551267,0.0,0.5,,,,,,,,,
316,62104,632,0.029107354578358353,1.0,1.0,,,,,,,,,
317,62346,634,0.024627788305141927,0.5,0.8,,,,,,,,,
318,62524,636,0.04299975818272949,0.0,0.6666666666666666,,,,,,,,,
319,62670,638,0.052151223190210455,0.0,0.6666666666666666,,,,,,,,,
320,62880,640,0.03195652158594245,0.0,0.6666666666666666,,,,,,,,,
321,63138,642,0.017003128884285842,1.0,1.0,0.030725888138398334,0.5,0.8333333333333334,,,,,,
